,cyclist_count,location,pedestrian_count,sign_count,time_of_day,unknown_count,vehicle_count,weather
0,0.0,location_sf,44.0,39.0,Day,0.0,60.0,sunny
1,1.0,location_sf,40.0,33.0,Day,0.0,23.0,sunny
2,8.0,location_sf,27.0,21.0,Day,0.0,50.0,sunny
3,0.0,location_sf,4.0,14.0,Day,0.0,11.0,sunny
4,0.0,location_sf,0.0,2.0,Day,0.0,17.0,sunny
5,0.0,location_sf,5.0,16.0,Day,0.0,33.0,sunny
6,0.0,location_sf,52.0,18.0,Day,0.0,53.0,sunny
7,0.0,location_phx,0.0,30.0,Dawn/Dusk,0.0,23.0,sunny
8,1.0,location_phx,1.0,10.0,Day,0.0,3.0,sunny
9,2.0,location_other,5.0,16.0,Day,0.0,29.0,sunny
10,0.0,location_sf,0.0,21.0,Dawn/Dusk,0.0,37.0,sunny
11,0.0,location_phx,3.0,10.0,Day,0.0,0.0,sunny
12,0.0,location_sf,2.0,23.0,Day,0.0,18.0,sunny
13,0.0,location_phx,0.0,0.0,Day,0.0,4.0,sunny
14,1.0,location_phx,6.0,30.0,Day,0.0,13.0,sunny
15,1.0,location_phx,3.0,0.0,Day,0.0,14.0,sunny
16,0.0,location_phx,2.0,16.0,Day,0.0,23.0,sunny
17,0.0,location_sf,92.0,7.0,Day,0.0,33.0,sunny
18,1.0,location_sf,56.0,26.0,Day,0.0,20.0,sunny
19,0.0,location_sf,0.0,2.0,Dawn/Dusk,0.0,5.0,sunny
20,9.0,location_sf,62.0,29.0,Day,0.0,29.0,sunny
21,0.0,location_sf,2.0,18.0,Day,0.0,43.0,sunny
22,1.0,location_phx,5.0,4.0,Day,0.0,2.0,sunny
23,0.0,location_other,0.0,24.0,Night,0.0,15.0,sunny
24,0.0,location_other,0.0,23.0,Night,0.0,14.0,sunny
25,0.0,location_other,2.0,29.0,Day,0.0,51.0,sunny
26,0.0,location_sf,22.0,14.0,Day,0.0,9.0,sunny
27,0.0,location_other,4.0,27.0,Day,0.0,64.0,sunny
28,1.0,location_sf,9.0,23.0,Dawn/Dusk,0.0,22.0,sunny
